Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Manhattan,Manhattanville,4bf348fce5eba593c8711e90,Crispy Bamboo Village,10,7.8,2
Manhattan,Central Harlem,4bd1f6909854d13a38a2fa4d,88 Chinese Restaurant,9,7.8,4
Manhattan,Yorkville,536e6f06498eaee664b4938e,Noodle Fun,9,8.0,7
Manhattan,Upper West Side,5529bfd8498ec6ce692d8015,Han Dynasty,322,8.6,66
Manhattan,Midtown,4e3484038877beb5e9a22a0b,Café China,1045,8.8,273
Manhattan,Murray Hill,4e3484038877beb5e9a22a0b,Café China,1045,8.8,273
Manhattan,Murray Hill,54b80565498e6d4f36168cd8,Xi'an Famous Foods,491,8.7,88
Manhattan,Greenwich Village,5a20df1742d8c2528e74211f,Chow House,69,8.8,6
Manhattan,Lower East Side,5b380f649deb7d00399fdf9d,Kings County Imperial,67,9.2,10
Manhattan,Tribeca,5237264111d27e8e90c10357,China Blue,352,8.5,86
Manhattan,Little Italy,5894c9a15e56b417cf79e553,Xi'an Famous Foods,104,8.5,29
Manhattan,Manhattan Valley,529e3657498efb17e9c800b7,Xi'an Famous Foods,295,8.4,80
Manhattan,Manhattan Valley,58fbdc8fe0755067a6dcf3ee,108 Food- Dried Hot Pot,39,7.9,12
Manhattan,Manhattan Valley,5ba99889f05ca8003a126617,Atlas Kitchen,10,8.0,3
Manhattan,Morningside Heights,5ba99889f05ca8003a126617,Atlas Kitchen,10,8.0,3
Manhattan,Morningside Heights,59ac42570868a23a1e0fde8f,Red Hot,10,8.4,1
Manhattan,Gramercy,5c990a8886f4cc002cf19bc1,Thy’s Noodles,20,8.1,7
Queens,Woodside,5a466fc5610f0447488800e2,Xi’an Famous Foods Central Kitchen,4,8.0,1
Queens,Elmhurst,4eaf0752d3e30d448393b841,Lao Bei Fang,81,8.3,50
Queens,Elmhurst,56296f14498edb1ed77b64a3,Five Loaves and Two Fishes,10,7.9,1
Queens,Elmhurst,59cfd6697564f73b6b943326,H.K. Taste,8,7.9,2
Queens,Elmhurst,4e4d0d0fbd413c4cc66e402c,Freedom Dove,5,8.0,4
Queens,Howard Beach,4ba57b0af964a5205f0b39e3,Empire Buffet,19,6.1,5
Queens,Forest Hills,4b68c90ff964a520da8c2be3,Great Wall Chinese Restaurant,7,7.5,2
Queens,Forest Hills,4b5917edf964a520387c28e3,Red House Kitchen,2,6.2,3
Queens,Richmond Hill,4c350ac6452620a1502b260f,New China Fresh,4,6.4,4
Queens,Richmond Hill,4bd20e32046076b0491f7371,Bamboo Gardens,7,6.3,9
Queens,Flushing,5747a89b498ee4b7a5106556,DunHuang Lanzhou Beef Noodle,34,8.1,10
Queens,Flushing,52235ea211d2fe55782d764c,Dong Yi Feng,16,7.6,1
Queens,Flushing,4c78756397028cfaec16d8fe,New Golden Szechuan Chinese Restaurant,11,8.0,4
Queens,Flushing,4fa3f81be4b0a34ac673bf1e,Taipei Hong 台北夯,19,7.8,10
Queens,Flushing,4faff7eae4b03b8055801cde,Xi'an Famous Foods,208,8.0,92
Queens,Flushing,4ac38216f964a520929b20e3,Golden Shopping Mall,104,8.4,53
Queens,Flushing,4ef37491d3e32dc398c7c5c7,Laoma Mala Tang,18,7.4,6
Queens,Flushing,4a1845c8f964a52092791fe3,Asian Jewels Seafood Restaurant 敦城海鲜酒家,272,7.4,98
Queens,Flushing,4e026cd7fa76007240170736,Lan Zhou Hand Made Noodle,33,7.7,20
Queens,Sunnyside,4bb91c86b35776b0e5a1c901,Golden Wok,7,7.7,4
Queens,Sunnyside,4b4a7016f964a520a18726e3,Ten Full Chinese,8,6.4,6
Queens,Sunnyside,4aece833f964a52024cc21e3,Tangra Fusion,24,6.6,15
Queens,Sunnyside,4bbd13baa8cf76b0a95fb1fd,China Garden,4,6.1,2
Queens,Ridgewood,4ba25cdff964a52051f137e3,Mr Chen,8,7.3,13
Queens,Ridgewood,4c703259d97fa1434b58f5ca,Randy's Restaurant,7,7.4,5
Queens,Rego Park,4bafed40f964a520152c3ce3,Grand Sichuan,21,7.2,11
Queens,Rego Park,4b5917edf964a520387c28e3,Red House Kitchen,2,6.2,3
Queens,College Point,4d8805b7d85f370481b0c9db,Little Pepper,73,8.1,38
Queens,Bayside,4b78929ff964a520aad72ee3,Bell Garden,1,6.8,6
Queens,Little Neck,53acac39498e3f6a67265048,Moonstone,32,8.2,11
Queens,Little Neck,4bc25d5b4cdfc9b627109621,Northern Manor 同乐轩,44,6.6,17
Queens,Douglaston,53794fd211d282a3cce576a2,Little Dumpling 李小籠,100,7.6,31
Queens,Douglaston,4bc25d5b4cdfc9b627109621,Northern Manor 同乐轩,44,6.6,17
Queens,Fresh Meadows,567c9683498ea7d84c364d8c,I Chopsticks,6,6.3,2
Queens,Briarwood,55707f69498e9a716399de69,Beijing Dumpling Handmade,9,6.1,7
Queens,Jamaica Center,5aef90f3b9b37b002ceb20d4,Panda Express,0,6.7,0
Queens,Jamaica Center,4ce49482e571a09332bc8587,Sagar Chinese,17,6.9,15
Queens,Oakland Gardens,4b0ae7a3f964a520c92923e3,Empire Garden,7,7.2,6
Queens,Queens Village,52951e3d11d22599a056c587,The Hibiscus Restaurant & Lounge II,4,6.0,2
Queens,Cambria Heights,4c6efa6ed7fab1f73b055ac9,Kam's Kitchen,4,5.8,4
Queens,Far Rockaway,4e4e41e8bd4101d0d7a620e0,Magic Wok,13,8.4,8
Queens,Jamaica Estates,4ce49482e571a09332bc8587,Sagar Chinese,17,6.9,15
Queens,Queensboro Hill,50e9c4b1e4b0541e6c67a2ab,Hly Chinese Cuisine (三人百姓),12,8.2,7
Queens,Queensboro Hill,4c2bfb622219c928f58ca548,Fukuoka Shabu Shabu,22,7.6,9
Queens,Queensboro Hill,4c56000b3e2220a163eb3ea5,88 Canteen,14,6.0,10
Queens,Queensboro Hill,4d93dd049892a1cd99799569,Yi Lan Halal Restaurant,6,6.3,10
Queens,Queensboro Hill,52019f6b498edfb499f84202,Ke Zhang,8,6.2,6
Queens,Lindenwood,4bca326b511f95210b4bafc7,Danny's Szechuan Garden,18,7.3,14
Queens,Lefrak City,56316c73498ebdd0e0e53e95,Green Zenphony,19,7.8,7
Queens,Bellaire,4c59c1d3d3aee21ea2066955,China King,4,7.0,3
Staten Island,West Brighton,4cf310ca7e0da1cd731e9b97,Green Garden Chinese Restaurant,3,7.3,4
Staten Island,Castleton Corners,4c53660372cf0f4768a0c4d2,Happy Fortune II,5,7.1,9
Staten Island,New Dorp,4c14210c7f7f2d7fae69e068,Crown Palace,9,5.8,5
Brooklyn,Ditmas Park,4be756a4910020a1db5ad514,Cam Tak Express Restaurant,3,6.9,8
Brooklyn,Rugby,4c1ad571eac020a10a0144c2,China Hao Restaurant,32,8.7,15
Staten Island,Westerleigh,4c93b85cf244b1f7c6621b1d,Fortune Cookie,8,6.6,6
Staten Island,Westerleigh,4bd6244d7b1876b098188c86,Empire Szechuan,6,6.2,5
Staten Island,Graniteville,5165e9fee4b08d4837e87f35,Empire East,5,7.3,4
Staten Island,Dongan Hills,4bba73677421a593ebd4c340,Jac Mao,23,8.1,12
Staten Island,Bay Terrace,4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant,7,6.6,6
Staten Island,Greenridge,4c924bf52626a1cdf368396b,Ho Wok,4,5.8,1
Staten Island,Bulls Head,4b6b7476f964a520dd092ce3,Oriental Plaza,38,6.8,33
Manhattan,Midtown South,54b80565498e6d4f36168cd8,Xi'an Famous Foods,491,8.7,88
Staten Island,Elm Park,4c254b83a852c92818ade46c,Crown Palace,4,8.2,4
Staten Island,Elm Park,4bd6244d7b1876b098188c86,Empire Szechuan,6,6.2,5
Brooklyn,Mill Basin,4ee01ae9f7903c92cd2e0c6a,ChinaTokyo,5,7.0,8
Queens,Jamaica Hills,4ce49482e571a09332bc8587,Sagar Chinese,17,6.9,15
Queens,Utopia,567c9683498ea7d84c364d8c,I Chopsticks,6,6.3,2
Queens,Utopia,4c563940b7a31b8d6cb44dda,Taipan Fusion Restaurant and Hookah Lounge,5,5.9,8
Queens,Astoria Heights,51d81d9e5019b8b339258089,Xing Chef,8,7.9,3
Bronx,Concourse Village,4ce9aeae678aa093b7a0efea,Merry Land Buffet,12,6.6,3
Manhattan,Sutton Place,5b350a77c876c8002c4984d7,Little Tong,25,8.2,3
Manhattan,Turtle Bay,5b350a77c876c8002c4984d7,Little Tong,25,8.2,3
Queens,Sunnyside Gardens,4bb91c86b35776b0e5a1c901,Golden Wok,7,7.7,4
Queens,Blissville,4bbd13baa8cf76b0a95fb1fd,China Garden,4,6.1,2
Brooklyn,Weeksville,4daa263f0cb6a89c62682125,Hardee,16,8.1,6
Brooklyn,Weeksville,4c9c2ba40e9bb1f706add15f,Leon Kitchen,5,6.6,4
Brooklyn,Broadway Junction,4d8151697c956dcb09cff27b,New Jin Shing Chinese Restuarant,6,7.2,4
Staten Island,Manor Heights,4be75c8f2468c928fc720243,Tack's Chinese Take Out,7,7.1,8
Staten Island,Willowbrook,4be75c8f2468c928fc720243,Tack's Chinese Take Out,7,7.1,8
Brooklyn,Homecrest,4b46743ff964a520892126e3,"Golden ""Z"" Restaurant",9,7.6,6
Brooklyn,Homecrest,4d28b924ebacb1f72efbf34f,Wing Hing Seafood Restaurant,25,6.4,15
Bronx,Bronxdale,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant,9,7.2,10
Bronx,Bronxdale,5085d52ae4b0bdebccdaa1ee,China Mia,6,7.1,5
Bronx,Kingsbridge Heights,4d965fd061a3a1cde4989a42,Lucky Star Chinese Restaurant,3,7.4,5
Brooklyn,Erasmus,4be756a4910020a1db5ad514,Cam Tak Express Restaurant,3,6.9,8
Queens,Hammels,4c72ad2bad69b60cb31b84b9,301 Chinese Resturant,9,6.8,3
